시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,,사망자수,13,6,1,3,0,2,,1,0,0,0,,0,0,11,6,0,0,0,3,0,0,0,,2,,0,0,11,5,2,2,0,1,0,0,1,0,0,,0,0,7,2,0,0,0,2,0,0,1,0,2,,,0,14,9,0,1,0,2,,0,2,0,0,,0,0
,,부상자수,1789,1238,108,148,3,109,,36,78,1,13,,1,54,1939,1327,152,189,3,118,2,20,54,,25,,1,48,2085,1467,131,179,1,168,2,13,70,2,14,,1,37,1829,1268,96,149,3,120,3,47,93,8,13,,,29,1692,1190,71,132,2,144,,27,60,5,15,,1,45
,중랑구,사고건수,1639,970,100,158,6,204,,20,114,3,10,1,3,50,1565,972,106,145,4,199,,12,78,4,9,,1,35,1620,936,98,152,5,237,1,11,99,5,14,,1,61,1447,811,83,146,4,226,,13,114,5,4,,1,40,1373,757,74,145,3,194,,19,98,19,7,,3,54
,,사망자수,6,3,0,1,0,0,,1,1,0,0,0,0,0,10,4,1,2,1,1,,0,1,0,0,,0,0,12,4,2,0,0,1,0,0,2,0,2,,1,0,4,2,1,0,0,0,,0,1,0,0,,0,0,7,3,1,0,0,1,,1,0,0,1,,0,0
,,부상자수,2228,1375,138,215,10,261,,21,127,4,13,1,3,60,2135,1412,126,183,4,258,,14,80,4,12,,1,41,2122,1292,123,184,6,310,2,13,105,5,13,,0,69,1952,1167,92,193,4,305,,15,125,5,4,,1,41,1826,1075,81,193,3,242,,26,112,20,8,,3,63
,노원구,사고건수,1499,1013,111,98,6,131,2,21,77,1,17,,1,21,1569,1104,99,97,3,118,,13,86,1,18,,1,29,1703,1058,120,150,3,163,,32,119,3,9,,1,45,1462,896,81,123,4,172,,12,112,7,11,,1,43,1413,863,88,104,3,173,,15,120,18,11,,2,16
,,사망자수,11,8,1,0,0,2,0,0,0,0,0,,0,0,14,8,1,1,0,2,,0,1,0,1,,0,0,8,2,3,2,0,0,,0,0,0,1,,0,0,5,4,0,0,0,1,,0,0,0,0,,0,0,8,3,0,2,0,2,,0,0,1,0,,0,0
,,부상자수,2055,1432,154,141,13,156,2,28,82,1,23,,1,22,2227,1632,139,147,3,138,,18,88,1,28,,1,32,2302,1506,156,208,5,199,,42,126,3,11,,1,45,2016,1305,107,176,5,220,,13,121,8,16,,1,44,1940,1231,137,127,3,231,,19,135,20,18,,2,17
,광진구,사고건수,1064,684,69,59,2,59,,79,60,3,1,,,48,1108,751,56,69,1,94,,20,70,4,4,,3,36,973,640,58,63,2,82,,31,61,9,11,,,16,869,557,31,58,,101,,32,45,24,5,,,16,922,526,55,68,,105,1,34,71,19,7,,,36
,,사망자수,16,6,0,2,0,2,,4,1,1,0,,,0,10,6,1,1,0,0,,0,2,0,0,,0,0,3,1,1,1,0,0,,0,0,0,0,,,0,4,1,0,2,,0,,1,0,0,0,,,0,4,2,0,2,,0,0,0,0,0,0,,,0
